episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
0828b8f84ad92418,SPX,T1,capped,reversion,2026-08-31T13:48:09,,SPX261120C07345000,SPX261120C07410000,2026-11-20,2026-12-18,1.000000,1.000000,472.4200,433.1900,0.0000,0.0000,-39.230000,0.000000,7394.977800,-3923.00,0.00,-3923.00,0,0,0,no exit observation available; episode still open
54a0374153501bd1,SPX,K2,capped,reversion,2026-08-31T13:48:59,,SPX261218C07240000,SPX261120C07225000,2026-11-20,2026-12-18,1.000000,1.000000,621.9300,588.7500,0.0000,0.0000,-33.180000,0.000000,8418.376500,-3318.00,0.00,-3318.00,0,0,0,no exit observation available; episode still open
81db53b63dcd82f2,SPX,T1,capped,reversion,2026-08-31T13:48:59,,SPX261120C07390000,SPX261120C07400000,2026-11-20,2026-12-18,1.000000,1.000000,434.5800,441.4400,0.0000,0.0000,6.860000,0.000000,4765.978200,686.00,0.00,686.00,0,0,0,no exit observation available; episode still open
81db53b63dcd82f2,SPX,K2,capped,reversion,2026-08-31T13:48:59,,SPX261218C07415000,SPX261120C07400000,2026-11-20,2026-12-18,1.000000,1.000000,477.8900,441.4400,0.0000,0.0000,-36.450000,0.000000,4765.978200,-3645.00,0.00,-3645.00,0,0,0,no exit observation available; episode still open
b7be1138aeef5e7c,SPX,T1,capped,reversion,2026-08-31T13:48:59,,SPX261120C07390000,SPX261120C07450000,2026-11-20,2026-12-18,1.000000,1.000000,434.5800,398.3900,0.0000,0.0000,-36.190000,0.000000,4181.826600,-3619.00,0.00,-3619.00,0,0,0,no exit observation available; episode still open
b7be1138aeef5e7c,SPX,K2,capped,reversion,2026-08-31T13:48:59,,SPX261218C07465000,SPX261120C07450000,2026-11-20,2026-12-18,1.000000,1.000000,431.5600,398.3900,0.0000,0.0000,-33.170000,0.000000,4181.826600,-3317.00,0.00,-3317.00,0,0,0,no exit observation available; episode still open
9db1273718e429e2,SPX,T1,capped,reversion,2026-08-31T13:59:56,,SPX261120C07210000,SPX261120C07310000,2026-11-20,2026-12-18,1.000000,1.000000,592.8800,516.0300,0.0000,0.0000,-76.850000,0.000000,7161.401300,-7685.00,0.00,-7685.00,0,0,0,no exit observation available; episode still open
9db1273718e429e2,SPX,K2,capped,reversion,2026-08-31T13:59:56,,SPX261218C07325000,SPX261120C07310000,2026-11-20,2026-12-18,1.000000,1.000000,536.3900,516.0300,0.0000,0.0000,-20.360000,0.000000,7161.401300,-2036.00,0.00,-2036.00,0,0,0,no exit observation available; episode still open
48db5d3898071493,SPX,T1,capped,reversion,2026-08-31T14:05:00,,SPX261120C07130000,SPX261120C07235000,2026-11-20,2026-12-18,1.000000,1.000000,655.6900,579.0200,0.0000,0.0000,-76.670000,0.000000,9965.850500,-7667.00,0.00,-7667.00,0,0,0,no exit observation available; episode still open
48db5d3898071493,SPX,K2,capped,reversion,2026-08-31T14:05:00,,SPX261218C07250000,SPX261120C07235000,2026-11-20,2026-12-18,1.000000,1.000000,603.9300,579.0200,0.0000,0.0000,-24.910000,0.000000,9965.850500,-2491.00,0.00,-2491.00,0,0,0,no exit observation available; episode still open
5b526a01b85f0ddf,SPX,T1,capped,reversion,2026-08-31T14:05:00,,SPX261120C06800000,SPX261120C06960000,2026-11-20,2026-12-18,1.000000,1.000000,953.7100,825.9300,0.0000,0.0000,-127.780000,0.000000,19767.239100,-12778.00,0.00,-12778.00,0,0,0,no exit observation available; episode still open
5b526a01b85f0ddf,SPX,K2,capped,reversion,2026-08-31T14:05:00,,SPX261218C06975000,SPX261120C06960000,2026-11-20,2026-12-18,1.000000,1.000000,841.6800,825.9300,0.0000,0.0000,-15.750000,0.000000,19767.239100,-1575.00,0.00,-1575.00,0,0,0,no exit observation available; episode still open
7aa7080986be3669,SPX,T1,capped,reversion,2026-08-31T14:05:00,,SPX261120C06375000,SPX261120C06660000,2026-11-20,2026-12-18,1.000000,1.000000,1356.6000,1116.6600,0.0000,0.0000,-239.940000,0.000000,34226.914200,-23994.00,0.00,-23994.00,0,0,0,no exit observation available; episode still open
7aa7080986be3669,SPX,K2,capped,reversion,2026-08-31T14:05:00,,SPX261218C06675000,SPX261120C06660000,2026-11-20,2026-12-18,1.000000,1.000000,1114.7000,1116.6600,0.0000,0.0000,1.960000,0.000000,34226.914200,196.00,0.00,196.00,0,0,0,no exit observation available; episode still open
